game_id,game_date,home_team_id,away_team_id,home_team,away_team,home_score,away_score
2025020444,,10,8,TOR,MTL,1,2
2025020445,,9,19,OTT,STL,1,2
2025020446,,14,2,TBL,NYI,0,2
2025020447,,12,18,CAR,NSH,6,3
2025020448,,20,68,CGY,UTA,2,0
2025020449,,26,16,LAK,CHI,6,0
2025020450,,22,52,EDM,WPG,6,2
2025020451,,23,30,VAN,MIN,4,2
2025020452,,55,17,SEA,DET,3,4
2025020453,,4,21,PHI,COL,2,3
2025020454,,13,2,FLA,NYI,4,1
2025020455,,12,28,CAR,SJS,1,4
2025020456,,25,5,DAL,PIT,3,2
2025020457,,8,19,MTL,STL,3,4
2025020458,,3,54,NYR,VGK,2,3
2025020459,,15,29,WSH,CBJ,2,0
2025020460,,24,16,ANA,CHI,7,1
2025020461,,10,14,TOR,TBL,2,0
2025020462,,68,26,UTA,LAK,2,4
2025020463,,20,7,CGY,BUF,7,4
2025020464,,23,17,VAN,DET,0,4
2025020465,,55,30,SEA,MIN,1,4
2025020466,,8,14,MTL,TBL,1,6
2025020467,,9,1,OTT,NJD,3,4
2025020468,,2,54,NYI,VGK,5,4
2025020469,,4,28,PHI,SJS,4,1
2025020470,,5,24,PIT,ANA,3,4
2025020471,,12,29,CAR,CBJ,4,1
2025020472,,19,6,STL,BOS,2,5
2025020473,,52,25,WPG,DAL,3,4
2025020474,,22,7,EDM,BUF,3,4
2025020475,,18,21,NSH,COL,4,3
2025020476,,16,3,CHI,NYR,3,0
2025020477,,20,17,CGY,DET,3,4
2025020478,,68,13,UTA,FLA,3,4
2025020479,,55,26,SEA,LAK,3,2
2025020480,,10,28,TOR,SJS,2,3
2025020481,,1,14,NJD,TBL,4,8
2025020482,,2,24,NYI,ANA,5,2
2025020483,,4,54,PHI,VGK,2,3
2025020484,,5,8,PIT,MTL,2,4
2025020485,,15,12,WSH,CAR,2,3
2025020486,,29,9,CBJ,OTT,3,6
2025020487,,18,19,NSH,STL,7,2
2025020488,,30,25,MIN,DAL,5,2
2025020489,,52,6,WPG,BOS,3,6
2025020490,,21,13,COL,FLA,6,2
2025020491,,22,17,EDM,DET,4,1
2025020492,,23,7,VAN,BUF,2,3
2025020493,,19,16,STL,CHI,3,2
2025020494,,68,55,UTA,SEA,5,3
2025020495,,1,24,NJD,ANA,4,1
2025020496,,30,9,MIN,OTT,3,2
2025020497,,5,28,PIT,SJS,5,6
2025020498,,2,14,NYI,TBL,3,2
2025020499,,10,22,TOR,EDM,3,6
2025020500,,3,8,NYR,MTL,5,4
2025020501,,4,12,PHI,CAR,3,4
2025020502,,29,54,CBJ,VGK,2,3
2025020503,,52,15,WPG,WSH,5,1
2025020504,,16,17,CHI,DET,0,4
2025020505,,25,13,DAL,FLA,0,4
2025020506,,21,18,COL,NSH,4,2
2025020507,,26,20,LAK,CGY,1,2
2025020508,,1,23,NJD,VAN,1,2
2025020509,,5,68,PIT,UTA,4,5
2025020510,,12,4,CAR,PHI,3,2
2025020511,,30,6,MIN,BOS,6,2
2025020512,,8,22,MTL,EDM,4,1
2025020513,,55,7,SEA,BUF,1,3
2025020514,,14,13,TBL,FLA,2,5
2025020515,,3,24,NYR,ANA,1,4
2025020516,,52,9,WPG,OTT,2,3
2025020517,,19,18,STL,NSH,2,5
